id,user_id,admin_id,category,description,ip_address,browser,type,created_at,updated_at
961,,2,Signin,"Admin has login",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-03T09:00:32.000000Z,2022-08-03T09:00:32.000000Z
960,90,,"Project proposal","Writer has rejected project proposal.",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T17:27:14.000000Z,2022-08-02T17:27:14.000000Z
959,90,,"Workstream Created","Client created workstream",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T17:27:09.000000Z,2022-08-02T17:27:09.000000Z
958,92,,"Add Proposal","Writer added a proposal on  Blanditiis ut  iure a project",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T17:26:49.000000Z,2022-08-02T17:26:49.000000Z
957,90,,"Project proposal","Writer has rejected project proposal.",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T17:21:39.000000Z,2022-08-02T17:21:39.000000Z
956,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-02T17:18:51.000000Z,2022-08-02T17:18:51.000000Z
955,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-02T17:17:12.000000Z,2022-08-02T17:17:12.000000Z
954,90,,Logout,"User logout",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T17:17:04.000000Z,2022-08-02T17:17:04.000000Z
953,,2,"Export Csv","User has export wallet statement",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-02T17:16:57.000000Z,2022-08-02T17:16:57.000000Z
952,,2,Specialty,"Admin has updated writer profile",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",admin,2022-08-02T16:49:13.000000Z,2022-08-02T16:49:13.000000Z
951,101,,"Refund Request","Clinet has rejected your refund request.",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T16:07:58.000000Z,2022-08-02T16:07:58.000000Z
950,90,,"Refund Request","Client sent refund request",127.0.0.1,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",user,2022-08-02T16:05:37.000000Z,2022-08-02T16:05:37.000000Z
